keyword,occurrence,paper_ids
diffusion,60,2602.01273|2602.01289|2602.01609|2602.01801|2602.01807|2602.01814|2602.01842|2602.02107|2602.02159|2602.02214|2602.02958|2602.03182|2602.03533|2602.04188|2602.04215|2602.04349|2602.04549|2602.04565|2602.05201|2602.05213|2602.05305|2602.05449|2602.05605|2602.05616|2602.06138|2602.06602|2602.06879|2602.07058|2602.08395|2602.08607|2602.08905|2602.09014|2602.09883|2602.10216|2602.10319|2602.10825|2602.10940|2602.12262|2602.12675|2602.12679|2602.13515|2602.13837|2602.13993|2602.15045|2602.15082|2602.15819|2602.17047|2602.17664|2602.18861|2602.18896|2602.19066|2602.19161|2602.19848|2602.20309|2602.20923|2602.21591|2602.21596|2602.22417|2602.22571|2602.23295
sparsity,60,2602.00397|2602.00577|2602.00780|2602.01801|2602.02159|2602.02197|2602.02786|2602.02873|2602.03152|2602.03214|2602.03216|2602.03230|2602.03839|2602.04166|2602.05218|2602.05243|2602.05305|2602.06183|2602.06252|2602.06563|2602.06675|2602.06822|2602.07374|2602.07375|2602.07616|2602.07729|2602.08218|2602.09169|2602.09386|2602.09618|2602.09869|2602.10262|2602.10754|2602.10994|2602.11008|2602.11062|2602.11084|2602.11408|2602.11726|2602.12675|2602.12744|2602.13515|2602.13993|2602.14262|2602.14578|2602.15224|2602.15521|2602.17772|2602.17907|2602.18196|2602.18507|2602.18825|2602.19859|2602.20467|2602.20496|2602.20662|2602.20732|2602.21042|2602.21652|2602.22575
VLM,52,2602.00247|2602.00722|2602.00780|2602.00946|2602.01037|2602.02142|2602.02212|2602.02786|2602.02873|2602.02951|2602.03060|2602.03134|2602.03230|2602.03295|2602.03310|2602.03742|2602.03782|2602.04565|2602.04657|2602.05809|2602.06127|2602.06184|2602.06822|2602.07574|2602.07768|2602.07849|2602.07899|2602.08136|2602.09483|2602.11858|2602.12173|2602.12936|2602.13289|2602.13315|2602.13710|2602.13764|2602.14236|2602.14432|2602.15382|2602.15516|2602.16412|2602.17196|2602.19756|2602.20309|2602.20566|2602.21397|2602.21983|2602.22345|2602.22613|2602.22896|2602.23699|2602.24059
vector quantization,52,2602.00165|2602.01140|2602.01635|2602.01793|2602.01829|2602.02035|2602.02151|2602.02334|2602.02338|2602.02726|2602.02958|2602.03310|2602.03922|2602.04188|2602.04460|2602.04926|2602.05367|2602.05790|2602.06180|2602.06592|2602.07889|2602.08612|2602.08984|2602.10445|2602.11062|2602.11184|2602.11799|2602.12593|2602.13087|2602.13573|2602.13764|2602.13818|2602.14018|2602.15045|2602.15491|2602.15530|2602.16124|2602.16951|2602.17133|2602.18896|2602.18904|2602.19622|2602.20191|2602.20319|2602.21009|2602.21133|2602.21667|2602.21983|2602.22417|2602.22545|2602.22759|2602.23012
GPTQ-style PTQ,42,2602.00165|2602.01037|2602.01273|2602.01289|2602.01741|2602.02001|2602.02110|2602.02151|2602.02538|2602.02546|2602.03120|2602.03472|2602.03537|2602.03742|2602.04163|2602.04929|2602.05902|2602.06069|2602.06181|2602.06694|2602.07374|2602.07465|2602.07596|2602.07899|2602.08376|2602.09883|2602.12295|2602.12609|2602.12635|2602.13151|2602.13289|2602.13710|2602.14432|2602.15200|2602.17681|2602.17693|2602.18861|2602.20191|2602.20309|2602.21233|2602.23192|2602.24059
KV cache,36,2602.00946|2602.01801|2602.01901|2602.02195|2602.02197|2602.02199|2602.02579|2602.02599|2602.02958|2602.03184|2602.03203|2602.04595|2602.04657|2602.05305|2602.05929|2602.07721|2602.08005|2602.08343|2602.08585|2602.09323|2602.09725|2602.10056|2602.10238|2602.10718|2602.10825|2602.11937|2602.12618|2602.12635|2602.14236|2602.15902|2602.18196|2602.19626|2602.20732|2602.21780|2602.22603|2602.23200
recommendation,26,2602.01140|2602.02338|2602.03713|2602.04278|2602.04460|2602.05499|2602.06563|2602.07847|2602.08612|2602.09386|2602.09618|2602.10445|2602.10455|2602.11062|2602.11799|2602.12593|2602.13573|2602.13581|2602.15005|2602.16124|2602.19167|2602.21009|2602.21600|2602.23012|2602.23105|2602.23400
8-bit/INT8,24,2602.02071|2602.03760|2602.05743|2602.06069|2602.06181|2602.06300|2602.06523|2602.09323|2602.09872|2602.10262|2602.10455|2602.10718|2602.10940|2602.11882|2602.11937|2602.12635|2602.13953|2602.16309|2602.16640|2602.17693|2602.18420|2602.21233|2602.23192|2602.23349
robotics/VLA,23,2602.00780|2602.02035|2602.02142|2602.02212|2602.02318|2602.02960|2602.03310|2602.03742|2602.03782|2602.04215|2602.04412|2602.08269|2602.10503|2602.11978|2602.13710|2602.13764|2602.16511|2602.18006|2602.20309|2602.20566|2602.21983|2602.22666|2602.22896
4-bit,22,2602.00165|2602.01459|2602.02047|2602.02546|2602.03760|2602.04163|2602.04595|2602.06181|2602.08081|2602.08600|2602.11882|2602.12635|2602.13073|2602.13151|2602.13289|2602.13595|2602.15836|2602.16309|2602.17691|2602.17693|2602.17761|2602.22268
mixed precision,22,2602.01027|2602.01273|2602.01410|2602.02711|2602.03537|2602.08043|2602.08269|2602.09872|2602.10262|2602.10605|2602.12609|2602.13780|2602.16249|2602.17698|2602.18758|2602.19268|2602.19959|2602.22268|2602.22352|2602.23192|2602.23334|2602.23349
MoE,18,2602.01037|2602.06154|2602.06183|2602.06563|2602.06822|2602.07616|2602.09258|2602.09316|2602.09386|2602.11184|2602.11937|2602.14301|2602.15521|2602.17691|2602.19938|2602.22700|2602.23716|2602.24059
other,11,2602.01976|2602.05594|2602.07618|2602.08240|2602.09316|2602.14751|2602.15904|2602.16412|2602.20933|2602.21662|2602.23128
QAT,9,2602.03537|2602.05367|2602.12295|2602.12675|2602.14432|2602.15563|2602.18758|2602.22592|2602.23192
1-bit/binarization,8,2602.03176|2602.05367|2602.06694|2602.13710|2602.15563|2602.22352|2602.22592|2602.23455
2-bit,7,2602.02001|2602.02958|2602.04163|2602.05367|2602.20083|2602.21233|2602.22592
semantic IDs,7,2602.02338|2602.04460|2602.10445|2602.11799|2602.12593|2602.13573|2602.21009
