arxiv_id,title,submitted_date,category,keywords,analysis_path
2609.03515,What Matters for Aggressive Decoding-Time KV Eviction? Temporal Aggregation and Ranking Preservation,2026-09-03,other,其他模型压缩,papers/2026-09/other/2609.03515/tech_analysis.md
2609.03563,FlashRender: Few-Step Generative Rendering via Camera-Controlled Video MeanFlow,2026-09-03,knowledge_distillation,知识蒸馏,papers/2026-09/knowledge_distillation/2609.03563/tech_analysis.md
2609.03604,On the Interaction Between Model Compression and Test-Time Adaptation,2026-09-03,pruning,剪枝,papers/2026-09/pruning/2609.03604/tech_analysis.md
2609.03675,CoFiE: Coarse-to-Fine Evidence Selection for Efficient Streaming Video Understanding,2026-09-03,pruning,剪枝,papers/2026-09/pruning/2609.03675/tech_analysis.md
2609.03702,Synthetic Semantic Supervision for Contrastive Code Representation Learning in Small Transformers: An Empirical Study,2026-09-03,knowledge_distillation,知识蒸馏,papers/2026-09/knowledge_distillation/2609.03702/tech_analysis.md
2609.03796,LLaDA-Image: Building Strong Image Generators with Fully Open Training Recipes,2026-09-03,knowledge_distillation,知识蒸馏,papers/2026-09/knowledge_distillation/2609.03796/tech_analysis.md
2609.03820,"Select, Compress, Reinvest: A Controlled Study of Visual-Token Allocation in Long-Video MLLMs",2026-09-03,pruning,剪枝,papers/2026-09/pruning/2609.03820/tech_analysis.md
2609.03949,VestigeKV: The NoPE-MLA KV Cache Carries Its Own Eviction Signal in a Vestigial Branch,2026-09-03,other,其他模型压缩,papers/2026-09/other/2609.03949/tech_analysis.md
2609.04031,DSAQuant: Denoising-Stage-Aligned Quantization-Aware Training for Video Generation,2026-09-04,quantization,量化,papers/2026-09/quantization/2609.04031/tech_analysis.md
2609.04071,TAP-Path: Task-Adaptive Structural and Token Pruning for Efficient and Trustworthy Pathology Foundation Models,2026-09-04,pruning,剪枝,papers/2026-09/pruning/2609.04071/tech_analysis.md
2609.04083,CORE: Improving Compositional Reasoning in MLLM Embedding via Reranker Distillation,2026-09-04,knowledge_distillation,知识蒸馏,papers/2026-09/knowledge_distillation/2609.04083/tech_analysis.md
2609.04098,Why Gated DeltaNet Survives 4-Bit Quantization: NVFP4 W4A4 for the Recurrent Half of a Hybrid 27B LLM,2026-09-04,quantization,量化,papers/2026-09/quantization/2609.04098/tech_analysis.md
2609.04105,Hardware-Aware FP4 FlashAttention-4,2026-09-04,quantization,量化,papers/2026-09/quantization/2609.04105/tech_analysis.md
2609.04108,Sequential Beats Joint: On the Interplay between On-Policy Distillation and RLVR,2026-09-04,knowledge_distillation,知识蒸馏,papers/2026-09/knowledge_distillation/2609.04108/tech_analysis.md
2609.04131,Beyond Retrieval: Progressive Latent Memory Evolution for Streaming Video Understanding,2026-09-04,other,其他模型压缩,papers/2026-09/other/2609.04131/tech_analysis.md
2609.04172,Rethinking On-Policy Distillation of Large Language Models II: One Training Example,2026-09-04,knowledge_distillation,知识蒸馏,papers/2026-09/knowledge_distillation/2609.04172/tech_analysis.md
2609.04199,Compile by Training: Turning Natural-Language Specifications into Local Neural Functions,2026-09-04,knowledge_distillation,知识蒸馏,papers/2026-09/knowledge_distillation/2609.04199/tech_analysis.md
2609.04203,Temporal Self-Distillation: Learning Visual State Tracking in Videos Without Supervision,2026-09-04,knowledge_distillation,知识蒸馏,papers/2026-09/knowledge_distillation/2609.04203/tech_analysis.md
